topico,palavras
1,"film, role, cast, performance, best, great, good, plays, john, played, character, actor"
2,"film, good, movie, films, like, horror, just, great, comedy, does, really, best"
3,"western, match, comedy, cartoon, john, short, ford, big, time, good, westerns, funny"
4,"series, characters, character, action, plot, good, story, episode, film, movie, like, original"
5,"movie, great, like, love, time, just, good, years, watch, really, kids, old"
6,"just, like, film, man, scene, gets, movie, guy, hes, bad, theres, woman"
7,"war, game, world, american, space, soldiers, people, time, battle, earth, german, history"
8,"film, story, life, films, movie, love, people, time, characters, way, like, world"
9,"movie, film, just, like, bad, good, really, dont, movies, time, people, think"
10,"film, films, book, version, horror, story, original, scenes, novel, like, good, quite"
