termo,df_estimado,idf
aa,16,8.98658494015407
aaa,12,9.25484892674875
aag,11,9.334891634422286
aaliyah,15,9.047209561970504
aamir,27,8.487593774035082
aamir khan,21,8.72875583085197
aardman,17,8.92942652631412
aaron,111,7.101299412915191
aaron carter,14,9.111748083108075
aaron eckhart,18,8.875359305043844
ab,20,8.775275846486863
ab tak,7,9.74035674253045
aback,19,8.824066010656296
abandon,77,7.463089457520694
abandoned,358,5.9364758957220065
abandoning,27,8.487593774035082
abandonment,29,8.41860090254813
abandons,42,8.058598168516724
abba,18,8.875359305043844
abbey,37,8.1822121244839
abbie,7,9.74035674253045
abbot,30,8.38581107972514
abbott,65,7.63014354218386
abbott costello,51,7.868554565628858
abby,11,9.334891634422286
abc,138,6.885324351079594
abc family,12,9.25484892674875
abcs,21,8.72875583085197
abducted,52,7.849506370658164
abduction,33,8.293437759594124
abe,34,8.264450222720871
abel,21,8.72875583085197
abetted,23,8.64174445386234
abhay,11,9.334891634422286
abhishek,17,8.92942652631412
abhorrent,23,8.64174445386234
abiding,24,8.600922459342085
abigail,21,8.72875583085197
abilities,220,6.421635582692533
ability,837,5.088780183728202
ability make,32,8.323290722743806
abject,19,8.824066010656296
able,2326,4.067463120907994
able act,15,9.047209561970504
able appreciate,23,8.64174445386234
able bring,22,8.684304068281136
able capture,28,8.452502454223811
able carry,15,9.047209561970504
able come,16,8.98658494015407
able convey,15,9.047209561970504
able create,19,8.824066010656296
able enjoy,31,8.354062381410559
able handle,15,9.047209561970504
able laugh,16,8.98658494015407
able live,13,9.180740954595027
able look,24,8.600922459342085
able make,87,7.342461469732079
able play,17,8.92942652631412
able predict,17,8.92942652631412
able pull,29,8.41860090254813
able relate,23,8.64174445386234
able save,15,9.047209561970504
able say,23,8.64174445386234
able sit,31,8.354062381410559
able stand,19,8.824066010656296
able stop,23,8.64174445386234
able tell,19,8.824066010656296
able understand,28,8.452502454223811
able use,17,8.92942652631412
able walk,14,9.111748083108075
able watch,60,7.708924420036975
ably,58,7.742260840304566
abnormal,26,8.523961418205957
aboard,112,7.092410465497945
abominable,51,7.868554565628858
abomination,84,7.377147027719969
aboriginal,22,8.684304068281136
aborigine,9,9.517213191216241
aborigines,10,9.421903011411915
aborted,31,8.354062381410559
abortion,78,7.4503504317432645
abortions,18,8.875359305043844
abound,97,7.234830805539714
abounds,25,8.561701746188803
aboveaverage,31,8.354062381410559
abraham,85,7.365450987956778
abraham lincoln,28,8.452502454223811
abrahams,20,8.775275846486863
abrasive,24,8.600922459342085
abridged,13,9.180740954595027
abroad,77,7.463089457520694
abrupt,136,6.899817358382161
abrupt ending,17,8.92942652631412
abruptly,123,6.999516718605249
absence,204,6.4967883050718775
absent,161,6.7322019489779015
absolute,643,5.352099558105932
absolute best,19,8.824066010656296
absolute favorite,24,8.600922459342085
absolute masterpiece,18,8.875359305043844
absolute waste,12,9.25484892674875
absolute worst,68,7.585691779613026
absolutely,2773,3.891752683335509
absolutely amazing,46,7.969650682500228
absolutely atrocious,16,8.98658494015407
absolutely awful,47,7.948597273302394
absolutely beautiful,38,8.156236638080639
absolutely best,17,8.92942652631412
absolutely brilliant,61,7.692663899165194
absolutely chemistry,21,8.72875583085197
absolutely fantastic,38,8.156236638080639
absolutely gorgeous,22,8.684304068281136
absolutely hate,15,9.047209561970504
absolutely hated,17,8.92942652631412
absolutely hilarious,74,7.502310170673975
absolutely horrible,57,7.759355273663867
absolutely idea,27,8.487593774035082
absolutely incredible,15,9.047209561970504
absolutely like,15,9.047209561970504
absolutely love,64,7.645411014314648
absolutely loved,91,7.2980097071612455
absolutely movie,22,8.684304068281136
absolutely new,16,8.98658494015407
absolutely perfect,40,8.106226217505977
absolutely plot,21,8.72875583085197
absolutely reason,41,8.082128665926916
absolutely redeeming,19,8.824066010656296
absolutely ridiculous,36,8.20888037156606
absolutely sense,63,7.660915200850614
absolutely stunning,38,8.156236638080639
absolutely superb,15,9.047209561970504
absolutely terrible,77,7.463089457520694
absolutely wonderful,23,8.64174445386234
absolutely worst,43,8.035608650292025
absolutely worth,15,9.047209561970504
absorb,43,8.035608650292025
absorbed,74,7.502310170673975
absorbing,99,7.214628098222194
abstract,88,7.3311619144781455
absurd,504,5.595239854934926
absurdist,31,8.354062381410559
